DrugBank_ID,Drug_Name,Formula,Frequency,Mean_Energy,Best_Energy,Mean_Rank,Files_Found
DB13952,Estradiol acetate,C20H26O3,8,-9.75,-9.9,10.125,"EM1, EM2, EM3, M1, M2, M3, M4, M5"
DB15465,Benzhydrocodone,C25H25NO4,8,-9.225,-9.6,24.125,"EM1, EM2, EM3, M1, M2, M3, M4, M5"
DB11760,Talazoparib,C19H14F2N6O,8,-9.1875,-9.3,29.125,"EM1, EM2, EM3, M1, M2, M3, M4, M5"
DB00783,Estradiol,C18H24O2,8,-9.175,-9.4,34,"EM1, EM2, EM3, M1, M2, M3, M4, M5"
DB00655,Estrone,C18H22O2,8,-9.1625,-9.2,27.875,"EM1, EM2, EM3, M1, M2, M3, M4, M5"
DB11791,Capmatinib,C23H17FN6O,8,-9.075,-9.1,35,"EM1, EM2, EM3, M1, M2, M3, M4, M5"
DB00685,Trovafloxacin,C20H15F3N4O3,8,-9.0625,-9.1,34.625,"EM1, EM2, EM3, M1, M2, M3, M4, M5"
DB11942,Selinexor,C17H11F6N7O,8,-9,-9,40.125,"EM1, EM2, EM3, M1, M2, M3, M4, M5"
DB01392,Yohimbine,C21H26N2O3,8,-8.9875,-9.3,34.875,"EM1, EM2, EM3, M1, M2, M3, M4, M5"
DB00734,Risperidone,C23H27FN4O2,8,-8.7875,-9.3,60.75,"EM1, EM2, EM3, M1, M2, M3, M4, M5"
DB11793,Niraparib,C19H20N4O,8,-8.7875,-9.1,55.75,"EM1, EM2, EM3, M1, M2, M3, M4, M5"
DB00363,Clozapine,C18H19ClN4,8,-8.7375,-8.9,59,"EM1, EM2, EM3, M1, M2, M3, M4, M5"
DB13953,Estradiol benzoate,C25H28O3,7,-10.18571429,-10.3,2,"EM1, EM2, EM3, M1, M3, M4, M5"
DB01117,Atovaquone,C22H19ClO3,7,-9.971428571,-10.1,4.571428571,"EM1, EM2, EM3, M2, M3, M4, M5"
DB01100,Pimozide,C28H29F2N3O,7,-9.771428571,-10.1,7.142857143,"EM1, EM2, EM3, M2, M3, M4, M5"
DB00619,Imatinib,C29H31N7O,7,-9.757142857,-10,10.85714286,"EM1, EM2, EM3, M1, M3, M4, M5"
DB04574,Estrone sulfate,C18H22O5S,7,-9.671428571,-10.1,17.85714286,"EM1, EM2, EM3, M1, M3, M4, M5"
DB13766,Lidoflazine,C30H35F2N3O,7,-9.542857143,-9.7,16.14285714,"EM1, EM2, EM3, M1, M3, M4, M5"
DB09280,Lumacaftor,C24H18F2N2O5,7,-9.342857143,-9.9,17.57142857,"EM1, EM2, M1, M2, M3, M4, M5"
DB05812,Abiraterone,C24H31NO,7,-9.2,-9.6,27,"EM1, EM2, EM3, M1, M3, M4, M5"
DB06144,Sertindole,C24H26ClFN4O,7,-9.171428571,-9.5,25.85714286,"EM2, EM3, M1, M2, M3, M4, M5"
DB04794,Bifonazole,C22H18N2,7,-9.114285714,-9.2,33.28571429,"EM1, EM3, M1, M2, M3, M4, M5"
DB00967,Desloratadine,C19H19ClN2,7,-9.057142857,-9.2,40.14285714,"EM1, EM2, EM3, M1, M2, M4, M5"
DB12001,Abemaciclib,C27H32F2N8,7,-9.042857143,-9.2,33.71428571,"EM1, EM2, M1, M2, M3, M4, M5"
DB01267,Paliperidone,C23H27FN4O3,7,-8.985714286,-9.4,39.28571429,"EM1, EM2, EM3, M1, M3, M4, M5"
DB12020,Tecovirimat,C19H15F3N2O3,7,-8.857142857,-9,47.28571429,"EM1, EM2, EM3, M2, M3, M4, M5"
DB00486,Nabilone,C24H36O3,7,-8.8,-8.9,55.71428571,"EM1, EM3, M1, M2, M3, M4, M5"
DB14723,Larotrectinib,C21H22F2N6O2,7,-8.8,-9,56.71428571,"EM1, EM2, EM3, M1, M3, M4, M5"
DB05016,Ataluren,C15H9FN2O3,7,-8.571428571,-8.8,78.57142857,"EM2, EM3, M1, M2, M3, M4, M5"
DB00693,Fluorescein,C20H12O5,7,-8.542857143,-8.9,83,"EM1, EM3, M1, M2, M3, M4, M5"
DB04842,Fluspirilene,C29H31F2N3O,6,-9.75,-9.8,8,"EM1, EM2, EM3, M1, M2, M3"
DB01395,Drospirenone,C24H30O3,6,-9.633333333,-10.4,14.66666667,"EM1, EM2, EM3, M2, M4, M5"
DB00307,Bexarotene,C24H28O2,6,-9.25,-9.7,26.33333333,"EM2, EM3, M1, M2, M3, M5"
DB04573,Estriol,C18H24O3,6,-9.116666667,-9.2,25.5,"EM1, M1, M2, M3, M4, M5"
DB08815,Lurasidone,C28H36N4O2S,6,-9.083333333,-9.7,33.16666667,"EM1, EM2, M1, M2, M4, M5"
DB04575,Quinestrol,C25H32O2,6,-8.983333333,-9.5,52,"EM1, EM2, EM3, M1, M4, M5"
DB08883,Perampanel,C23H15N3O,6,-8.766666667,-9,64,"EM1, EM2, EM3, M1, M3, M4"
DB00525,Tolnaftate,C19H17NOS,6,-8.6,-8.8,78.5,"EM1, EM2, M1, M2, M4, M5"
DB14914,Flortaucipir F-18,C16H10FN3,6,-8.6,-8.6,68.66666667,"EM3, M1, M2, M3, M4, M5"
DB04868,Nilotinib,C28H22F3N7O,5,-9.58,-9.9,12.4,"EM1, EM3, M1, M3, M5"
DB12978,Pexidartinib,C20H15ClF3N5,5,-9.42,-9.5,11.6,"M1, M2, M3, M4, M5"
DB11614,Rupatadine,C26H26ClN3,5,-9.4,-9.9,27.4,"EM1, EM3, M1, M3, M4"
DB15035,Zanubrutinib,C27H29N5O3,5,-9.32,-9.8,28,"EM1, EM3, M3, M4, M5"
DB11799,Bictegravir,C21H18F3N3O5,5,-9.26,-9.3,25.4,"EM1, EM2, EM3, M1, M5"
DB09291,Rolapitant,C25H26F6N2O2,5,-9.08,-9.6,36.6,"EM2, EM3, M1, M2, M5"
DB09074,Olaparib,C24H23FN4O3,5,-9.02,-9.7,48.4,"EM1, EM3, M1, M3, M5"
DB09488,Acrivastine,C22H24N2O2,5,-9,-9,29.2,"M1, M2, M3, M4, M5"
DB06210,Eltrombopag,C25H22N4O4,5,-8.98,-9.1,48.2,"EM1, EM2, EM3, M3, M4"
DB11951,Lemborexant,C22H20F2N4O2,5,-8.96,-9,38.6,"EM2, EM3, M2, M4, M5"
DB13520,Metergoline,C25H29N3O2,5,-8.9,-9.1,49.4,"EM2, EM3, M1, M3, M5"
DB00209,Trospium,C25H30NO3,5,-8.86,-8.9,36,"M1, M2, M3, M4, M5"
DB09143,Sonidegib,C26H26F3N3O3,5,-8.86,-8.9,45.6,"EM2, EM3, M2, M4, M5"
DB01609,Deferasirox,C21H15N3O4,5,-8.84,-8.9,49.8,"EM2, EM3, M1, M4, M5"
DB00735,Naftifine,C21H21N,5,-8.8,-8.8,41.2,"M1, M2, M3, M4, M5"
DB00719,Azatadine,C20H22N2,5,-8.72,-8.8,55.2,"EM3, M1, M2, M4, M5"
DB00670,Pirenzepine,C19H21N5O2,5,-8.7,-8.7,48.4,"M1, M2, M3, M4, M5"
DB12401,Bromperidol,C21H23BrFNO2,5,-8.7,-8.7,50,"M1, M2, M3, M4, M5"
DB00941,Hexafluronium,C36H42N2,5,-8.66,-8.8,62.2,"EM1, M1, M2, M3, M5"
